dataset,nu,auc,n_support,fit_time_s
chess_nowin_34_variant1,0.05,0.973972,93,0.07
chess_nowin_34_variant1,0.1,0.976633,175,0.14
chess_nowin_34_variant1,0.2,0.973461,336,0.26
chess_nowin_34_variant1,0.3,0.972227,505,0.4
chess_nowin_34_variant1,0.5,0.970112,837,0.63
chess_nowin_87_variant1,0.01,0.941689,28,0.03
chess_nowin_87_variant1,0.05,0.960001,93,0.08
chess_nowin_87_variant1,0.1,0.965111,174,0.14
chess_nowin_87_variant1,0.2,0.963231,336,0.27
chess_nowin_87_variant1,0.3,0.960869,505,0.43
chess_nowin_87_variant1,0.5,0.957756,838,0.67
creditA_plus_42_variant1,0.01,0.928882,25,0.01
creditA_plus_42_variant1,0.05,0.934664,35,0.01
creditA_plus_42_variant1,0.1,0.952878,47,0.01
creditA_plus_42_variant1,0.2,0.95667,87,0.02
creditA_plus_42_variant1,0.3,0.949459,118,0.02
creditA_plus_42_variant1,0.5,0.950205,196,0.04
diabetes_tested_positive_26_variant1,0.01,0.814385,8,0.01
diabetes_tested_positive_26_variant1,0.05,0.934462,29,0.01
diabetes_tested_positive_26_variant1,0.1,0.946385,52,0.01
diabetes_tested_positive_26_variant1,0.2,0.942923,102,0.02
diabetes_tested_positive_26_variant1,0.3,0.944154,151,0.03
diabetes_tested_positive_26_variant1,0.5,0.953308,253,0.04
ecoli,0.01,0.848454,6,0.0
ecoli,0.05,0.876996,17,0.0
ecoli,0.1,0.865104,34,0.01
ecoli,0.2,0.864084,66,0.01
ecoli,0.3,0.869861,99,0.01
ecoli,0.5,0.873598,166,0.02
german_1_14_variant1,0.01,0.969592,41,0.02
german_1_14_variant1,0.05,0.982857,51,0.02
german_1_14_variant1,0.1,0.981531,75,0.03
german_1_14_variant1,0.2,0.97602,151,0.06
german_1_14_variant1,0.3,0.972857,219,0.08
german_1_14_variant1,0.5,0.97,355,0.12
glass,0.01,0.369648,6,0.0
glass,0.05,0.344715,12,0.0
glass,0.1,0.342547,24,0.01
glass,0.2,0.347967,42,0.01
glass,0.3,0.345257,63,0.01
