nu,auc_mean,auc_std
0.01,0.8249238052761481,0.14714596910759273
0.02,0.8046323864995323,0.19534501370494284
0.05,0.8199856205187999,0.17414029125906091
0.1,0.8204078351738,0.198145759836015
0.15,0.8150915061478974,0.214217037662313
0.2,0.8173608457546623,0.2158480998190297
0.3,0.8034496697814403,0.21842359888945187
0.5,0.7866174681023835,0.21214238593545143
