lambda,auc_mean,auc_std
0.0,0.79673885,0.15384633948582216
0.1,0.7244989666666666,0.19225413827562748
1.0,0.7420044000000001,0.20200972672443737
10.0,0.87984925,0.1280312000415083
100.0,0.8895694166666667,0.10911974724662868
1000.0,0.8852214499999999,0.11088066909397852
