latent_dim,auc_mean,auc_std
16,0.8579135166666667,0.1516230452923076
32,0.8838848833333334,0.10687709962077117
64,0.8792043166666665,0.12013065229846495
128,0.8900636499999999,0.12144813150715271
256,0.8810087666666668,0.12796108159247857
